agent_id,state,entry_time,exit_time,dwell_time,state_name,going_to_state_id,going_to_state,age,dwell_time_raw
475,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,20.382965,0.0
481,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,3.4172833,0.0
483,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,7.2506666,0.0
484,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,41.483467,0.0
486,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,11.456704,0.0
488,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,91.299706,0.0
490,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,80.217926,0.0
495,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,37.70985,0.0
496,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,3.2936275,0.0
500,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,82.628365,0.0
502,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,52.107925,0.0
508,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,92.84687,0.0
511,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,73.835976,0.0
525,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,99.65945,0.0
526,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,57.525272,0.0
537,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,28.897232,0.0
541,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,0.6474316,0.0
543,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,38.358654,0.0
548,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,31.944572,0.0
559,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,30.754805,0.0
560,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,73.5329,0.0
562,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,2.629292,0.0
568,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,81.47316,0.0
569,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,74.35394,0.0
570,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,12.057024,0.0
572,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,64.21596,0.0
574,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,23.843597,0.0
577,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,65.573,0.0
580,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,29.136007,0.0
586,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,64.6162,0.0
592,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,31.557692,0.0
595,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,96.25029,0.0
600,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,12.45104,0.0
601,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,13.212633,0.0
604,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,79.40147,0.0
613,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,99.2768,0.0
615,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,45.776154,0.0
624,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,56.59507,0.0
630,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,93.118065,0.0
631,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,95.98077,0.0
640,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,85.70033,0.0
651,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,12.54046,0.0
658,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,48.97328,0.0
659,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,14.808869,0.0
664,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,80.02185,0.0
665,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,20.64389,0.0
669,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,19.163864,0.0
672,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,94.98148,0.0
675,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,19.837349,0.0
686,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,75.099335,0.0
688,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,73.236305,0.0
689,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,10.901987,0.0
691,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,43.836475,0.0
693,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,9.045446,0.0
696,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,73.881546,0.0
702,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,52.30699,0.0
704,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,14.183778,0.0
705,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,61.460026,0.0
711,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,24.47108,0.0
714,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,65.96461,0.0
717,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,46.108498,0.0
719,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,12.987494,0.0
727,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,12.67826,0.0
729,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,27.383715,0.0
733,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,65.77324,0.0
737,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,55.916035,0.0
740,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,74.95,0.0
747,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,95.54309,0.0
748,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,73.63385,0.0
752,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,89.26204,0.0
754,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,43.174522,0.0
755,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,74.64699,0.0
759,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,83.279526,0.0
763,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,41.526882,0.0
764,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,94.03832,0.0
767,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,0.14755726,0.0
770,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,88.189545,0.0
781,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,51.916336,0.0
784,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,4.658395,0.0
785,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,34.02838,0.0
796,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,15.0424595,0.0
801,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,90.34744,0.0
806,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,82.27701,0.0
809,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,54.66828,0.0
816,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,91.93847,0.0
825,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,77.12414,0.0
827,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,18.763988,0.0
835,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,34.388126,0.0
838,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,99.06088,0.0
842,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,26.27653,0.0
846,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,23.138588,0.0
847,-1.0,0.0,0,0.0,-1.0.None,4.0,4.0.Active Smneg,51.71566,0.0
848,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,30.776613,0.0
854,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,95.85954,0.0
863,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,40.07461,0.0
869,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,80.11781,0.0
872,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,92.84246,0.0
873,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,10.380125,0.0
881,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,2.377826,0.0
886,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,77.96012,0.0
894,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,22.638243,0.0
895,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,72.173,0.0
900,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,48.577076,0.0
907,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,28.745438,0.0
923,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,65.67069,0.0
928,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,31.104618,0.0
930,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,83.903534,0.0
933,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,71.72905,0.0
936,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,61.016663,0.0
939,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,26.386923,0.0
942,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,48.816128,0.0
943,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,81.36254,0.0
947,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,14.987641,0.0
949,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,56.467503,0.0
953,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,31.755383,0.0
962,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,52.515907,0.0
963,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,19.393927,0.0
969,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,28.121895,0.0
972,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,90.64769,0.0
976,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,45.248253,0.0
977,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,31.44458,0.0
981,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,86.6849,0.0
982,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,65.888885,0.0
986,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,8.5880995,0.0
988,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,43.22067,0.0
991,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,56.524467,0.0
994,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,9.537405,0.0
996,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,93.16123,0.0
999,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,20.530748,0.0
166,-1.0,0.0,0,0.0,-1.0.None,-3.0,-3.0.NON-TB DEATH,96.75746,0.0
476,-1.0,0.0,0,0.0,-1.0.None,-3.0,-3.0.NON-TB DEATH,47.47482,0.0
556,-1.0,0.0,0,0.0,-1.0.None,-3.0,-3.0.NON-TB DEATH,18.851816,0.0
800,-1.0,0.0,0,0.0,-1.0.None,-3.0,-3.0.NON-TB DEATH,70.37569,0.0
44,-1.0,0.0,1,1.0,-1.0.None,0.0,0.0.Latent Slow,76.618324,1.0
112,-1.0,0.0,1,1.0,-1.0.None,0.0,0.0.Latent Slow,16.18855,1.0
121,1.0,0.0,1,1.0,1.0.Latent Fast,3.0,3.0.Active Smpos,32.735256,1.0
214,-1.0,0.0,1,1.0,-1.0.None,0.0,0.0.Latent Slow,78.28056,1.0
215,-1.0,0.0,1,1.0,-1.0.None,0.0,0.0.Latent Slow,97.073586,1.0
323,1.0,0.0,1,1.0,1.0.Latent Fast,3.0,3.0.Active Smpos,85.32507,1.0
350,-1.0,0.0,1,1.0,-1.0.None,0.0,0.0.Latent Slow,5.9513574,1.0
397,1.0,0.0,1,1.0,1.0.Latent Fast,2.0,2.0.Active Presymp,52.019093,1.0
500,1.0,0.0,1,1.0,1.0.Latent Fast,3.0,3.0.Active Smpos,82.7105,1.0
692,-1.0,0.0,1,1.0,-1.0.None,0.0,0.0.Latent Slow,40.488403,1.0
771,-1.0,0.0,1,1.0,-1.0.None,0.0,0.0.Latent Slow,53.099804,1.0
772,-1.0,0.0,1,1.0,-1.0.None,0.0,0.0.Latent Slow,95.29385,1.0
845,-1.0,0.0,1,1.0,-1.0.None,0.0,0.0.Latent Slow,18.563921,1.0
916,-1.0,0.0,1,1.0,-1.0.None,0.0,0.0.Latent Slow,31.969948,1.0
933,1.0,0.0,1,1.0,1.0.Latent Fast,4.0,4.0.Active Smneg,71.81119,1.0
936,1.0,0.0,1,1.0,1.0.Latent Fast,3.0,3.0.Active Smpos,61.098797,1.0
